WOS relevance rank,Authors,Article Title,Source Title,Publication Year,Volume,Issue,DOI,Relevant? Y/N,micrlocfull,micrtax,otherPhenMicrLink,MicrobesAffectPhenology,manipulationtype,inoctype,phentrait,phentrait_of,anyeffect,SelectionOnPlantMeasured,FitnessComponent,RawDataAvailable,Notes
99,"Tittabutr, P; Sripakdi, S; Boonkerd, N; Tanthanuch, W; Minamisawa, K; Teaumroong, N",Possible Role of 1-Aminocyclopropane-1-Carboxylate (ACC) Deaminase Activity of Sinorhizobium sp BL3 on Symbiosis with Mung Bean and Determinate Nodule Senescence,MICROBES AND ENVIRONMENTS,2015,30,4,10.1264/jsme2.ME15120,n,,,n,n,,,,,,,,,
100,"REIFSCHNEIDER, FJB; BOITEUX, LS; DELLAVECCHIA, PT; POULOS, JM; KURODA, N",INHERITANCE OF ADULT-PLANT RESISTANCE TO PHYTOPHTHORA-CAPSICI IN PEPPER,EUPHYTICA,1992,62,1,10.1007/BF00036086,n,,,n,n,,,,,,,,,
101,"Sorensen, PO; Templer, PH; Finzi, AC",Contrasting effects of winter snowpack and soil frost on growing season microbial biomass and enzyme activity in two mixed-hardwood forests,BIOGEOCHEMISTRY,2016,128,1-2,10.1007/s10533-016-0199-3,y,root,mixed,y,n,,,,,,,,,
102,"Mummey, DL; Antunes, PM; Rillig, MC",Arbuscular mycorrhizal fungi pre-inoculant identity determines community composition in roots,SOIL BIOLOGY & BIOCHEMISTRY,2009,41,6,10.1016/j.soilbio.2009.02.027,n,,,n,n,,,,,,,,,
103,"Romero, YLC; Banos, YS; Izquierdo, EM",Effect of Rhizobium inoculation on growth of Phaseolus vulgaris (bean) under controlled conditions,AVANCES,2017,19,1,,n,,,n,n,,,,,,,,,
104,"Bauer, JT; Koziol, L; Bever, JD","Ecology of Floristic Quality Assessment: testing for correlations between coefficients of conservatism, species traits and mycorrhizal responsiveness",AOB PLANTS,2018,10,1,10.1093/aobpla/plx073,n,,,n,n,,,,,,,,,
105,"Velasco, AGV; Probanza, A; Manero, FJG; Ramos, B; Garcia, JAL",Functional diversity of rhizosphere microorganisms from different genotypes of Arabidopsis thaliana,COMMUNITY ECOLOGY,2009,10,1,10.1556/ComEc.10.2009.1.13,n,,,n,n,,,,,,,,,
107,"Hupperts, SF; Karst, J; Pritsch, K; Landhausser, SM",Host phenology and potential saprotrophism of ectomycorrhizal fungi in the boreal forest,FUNCTIONAL ECOLOGY,2017,31,1,10.1111/1365-2435.12695,y,root,MF,y,n,,,,,,,,,
108,"Davoodian, N; Bosworth, J; Rajakaruna, N","Mycorrhizal Colonization of Hypericum perforatum L. (Hypericaceae) from Serpentine and Granite Outcrops on the Deer Isles, Maine",NORTHEASTERN NATURALIST,2012,19,3,10.1656/045.019.0312,y,root,MF,y,n,,,,,,,,,
110,"Pereira, CI; Franco, MI; Gomes, EO; Gomes, AMP; Malcata, FX",Contribution of specific adventitious microorganisms toward evolution of sugar and organic acid profiles throughout ripening of model Portuguese cheeses,FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,2008,14,3,10.1177/1082013208095475,n,,,n,n,,,,,,,,,
111,"Santos, JO; Antunes, JEL; Araujo, ASF; Lyra, MCCP; Gomes, RLF; Lopes, ACA; Figueiredo, MVB",Genetic diversity among native isolates of rhizobia from Phaseolus lunatus,ANNALS OF MICROBIOLOGY,2011,61,3,10.1007/s13213-010-0156-7,n,,,n,n,,,,,,,,,
112,"Aubert, D; Chen, LJ; Moon, YH; Martin, D; Castle, LA; Yang, CH; Sung, ZR","EMF1, a novel protein involved in the control of shoot architecture and flowering in Arabidopsis",PLANT CELL,2001,13,8,10.1105/tpc.13.8.1865,n,,,n,n,,,,,,,,,
113,"Wattad, C; Kobiler, D; Dinoor, A; Prusky, D",Pectate lyase of Colletotrichum gloeosporioides attacking avocado fruits: cDNA cloning and involvement in pathogenicity,PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,1997,50,3,10.1006/pmpp.1997.0080,n,,,n,n,,,,,,,,,
114,"Sorensen, PO; Beller, HR; Bill, M; Bouskill, NJ; Hubbard, SS; Karaoz, U; Polussa, A; Steltzer, H; Wang, S; Williams, KH; Wu, YX; Brodie, EL",The Snowmelt Niche Differentiates Three Microbial Life Strategies That Influence Soil Nitrogen Availability During and After Winter,FRONTIERS IN MICROBIOLOGY,2020,11,,10.3389/fmicb.2020.00871,y,root,mixed,y,n,,,,,,,,,
115,"DEMARS, BG; BOERNER, REJ",MYCORRHIZAL DYNAMICS OF 3 WOODLAND HERBS OF CONTRASTING PHENOLOGY ALONG TOPOGRAPHIC GRADIENTS,AMERICAN JOURNAL OF BOTANY,1995,82,11,10.2307/2445870,y,root,MF,y,n,,,,,,,,,
116,"Novello, G; Gamalero, E; Bona, E; Boatti, L; Mignone, F; Massa, N; Cesaro, P; Lingua, G; Berta, G",The Rhizosphere Bacterial Microbiota of Vitis vinifera cv. Pinot Noir in an Integrated Pest Management Vineyard,FRONTIERS IN MICROBIOLOGY,2017,8,,10.3389/fmicb.2017.01528,y,root,mixed,y,n,,,,,,,,,
118,"Brutti, L; Rivero, E; Basurco, JCP; Nicolas, M; Iriarte, L; Abbiati, N; Ljunggren, H; Martensson, A",Persistence of Bradyrhizobium japonicum in arable soils of Argentina,APPLIED SOIL ECOLOGY,1998,10,1-2,10.1016/S0929-1393(98)00038-9,y,root,bacteria,y,n,,,,,,,,,
121,"Chaudhryi, MZ; Naz, AU; Nawaz, A; Nawaz, A; Mukhtar, H; Irfan-Ul-Haq, M",COLONIZATION OF PLANT GROWTH PROMOTING RHIZOBACTERIA (PGPR) ON TWO DIFFERENT ROOT SYSTEMS,PAKISTAN JOURNAL OF BOTANY,2016,48,4,,n,,,n,n,,,,,,,,,
122,"Shikano, I; Olson, GL; Cory, JS",Impact of non-pathogenic bacteria on insect disease resistance: importance of ecological context,ECOLOGICAL ENTOMOLOGY,2015,40,5,10.1111/een.12235,n,,,n,n,,,,,,,,,
123,"Simonin, M; Nunan, N; Bloor, JMG; Pouteau, V; Niboyet, A",Short-term responses and resistance of soil microbial community structure to elevated CO2 and N addition in grassland mesocosms,FEMS MICROBIOLOGY LETTERS,2017,364,9,10.1093/femsle/fnx077,n,,,n,n,,,,,,,,,
124,"Scheider, N; Guo, JR; Verreet, JA; Beyer, M",Assessing the intensity of Fusarium-damage in wheat: A comparison of selected disease parameters during disease development and the role of fungicides,JOURNAL OF PLANT DISEASES AND PROTECTION,2009,116,3,10.1007/BF03356297,y,reproductive; shoot,fungi,y,n,,,,,,,,,
126,"Landi, L; Capocasa, F; Costantini, E; Mezzetti, B","ROLC strawberry plant adaptability, productivity, and tolerance to soil-borne disease and mycorrhizal interactions",TRANSGENIC RESEARCH,2009,18,6,10.1007/s11248-009-9279-7,y,root,MF,y,n,,,,,,,,,
127,"Buscardo, E; Geml, J; Schmidt, SK; Freitas, H; da Cunha, HB; Nagy, L",Spatio-temporal dynamics of soil bacterial communities as a function of Amazon forest phenology,SCIENTIFIC REPORTS,2018,8,,10.1038/s41598-018-22380-z,y,root; shoot,bacteria,y,n,,,,,,,,,
128,"Spriggs, AC; Dakora, FD",Field assessment of symbiotic N-2 fixation in wild and cultivated Cyclopia species in the South African fynbos by N-15 natural abundance,TREE PHYSIOLOGY,2009,29,2,10.1093/treephys/tpn021,n,,,n,n,,,,,,,,,
130,"Ostlie, HM; Kraggerud, H; Longva, AB; Abrahamsen, RK",Characterisation of the microflora during ripening of a Norwegian semi-hard cheese with adjunct culture of propionic acid bacteria,INTERNATIONAL DAIRY JOURNAL,2016,54,,10.1016/j.idairyj.2015.10.005,n,,,n,n,,,,,,,,,
131,"Babber, S; Sheokand, S; Malik, S",Nodule structure and functioning in chickpea (Cicer arietinum) as affected by salt stress,BIOLOGIA PLANTARUM,2000,43,2,10.1023/A:1002764512963,n,,,n,n,,,,,,,,,
132,"Deighton, N; Muckenschnabel, I; Colmenares, AJ; Collado, IG; Williamson, B",Botrydial is produced in plant tissues infected by Botrytis cinerea,PHYTOCHEMISTRY,2001,57,5,10.1016/S0031-9422(01)00088-7,n,,,n,n,,,,,,,,,
133,"Oono, R; Schmitt, I; Sprent, JI; Denison, RF",Multiple evolutionary origins of legume traits leading to extreme rhizobial differentiation,NEW PHYTOLOGIST,2010,187,2,10.1111/j.1469-8137.2010.03261.x,n,,,n,n,,,,,,,,,
134,"Ventura-Aguilar, RI; Bautista-Banos, S; Flores-Garcia, G; Zavaleta-Avejar, L",Impact of chitosan based edible coatings functionalized with natural compounds on Colletotrichum fragariae development and the quality of strawberries,FOOD CHEMISTRY,2018,262,,10.1016/j.foodchem.2018.04.063,n,,,n,n,,,,,,,,,
135,"Adikaram, NKB; Joyce, DC; Terry, LA",Biocontrol activity and induced resistance as a possible mode of action for Aureobasidium pullulans against grey mould of strawberry fruit,AUSTRALASIAN PLANT PATHOLOGY,2002,31,3,10.1071/AP02017,n,,,n,n,,,,,,,,,
136,"MOHAMMADI, M; KARR, AL",THE USE OF SOYBEAN PLANTLETS TO STUDY ROOT NODULE SENESCENCE,JOURNAL OF PLANT PHYSIOLOGY,1993,141,2,10.1016/S0176-1617(11)80761-3,y,root,bacteria,y,n,,,,,,,,,
137,"Resendes, ML; Bryla, DR; Eissenstat, DM",Early events in the life of apple roots: variation in root growth rate is linked to mycorrhizal and nonmycorrhizal fungal colonization,PLANT AND SOIL,2008,313,1-2,10.1007/s11104-008-9690-5,y,root,MF,y,n,,,,,,,,,
138,"Khodakovskaya, MV; Kim, BS; Kim, JN; Alimohammadi, M; Dervishi, E; Mustafa, T; Cernigla, CE","Carbon Nanotubes as Plant Growth Regulators: Effects on Tomato Growth, Reproductive System, and Soil Microbial Community",SMALL,2013,9,1,10.1002/smll.201201225,n,,,n,n,,,,,,,,,
139,"Li, ZQ; Li, TM; Wang, YJ; Xu, Y",Breeding new seedless grapes using in ovulo embryo rescue and marker-assisted selection,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,2015,51,3,10.1007/s11627-015-9677-x,n,,,n,n,,,,,,,,,
140,"Antunes, PM; de Varennes, A; Rajcan, I; Goss, MJ",Accumulation of specific flavonoids in soybean (Glycine max (L.) Merr.) as a function of the early tripartite symbiosis with arbuscular mycorrhizal fungi and Bradyrhizobium japonicum (Kirchner) Jordan,SOIL BIOLOGY & BIOCHEMISTRY,2006,38,6,10.1016/j.soilbio.2005.09.016,n,,,n,n,,,,,,,,,
141,"Patino-Ruiz, JD; Schausberger, P",Spider mites adaptively learn recognizing mycorrhiza-induced changes in host plant volatiles,EXPERIMENTAL AND APPLIED ACAROLOGY,2014,64,4,10.1007/s10493-014-9845-4,n,,,n,n,,,,,,,,,
143,"REID, LM; BOLTON, AT; HAMILTON, RI; WOLDEMARIAM, T; MATHER, DE",EFFECT OF SILK AGE ON RESISTANCE OF MAIZE TO FUSARIUM-GRAMINEARUM,CANADIAN JOURNAL OF PLANT PATHOLOGY-REVUE CANADIENNE DE PHYTOPATHOLOGIE,1992,14,4,10.1080/07060669209500867,y,reproductive,fungi,y,n,,,,,,,,,
144,"dal Soglio, FK; Bertagnolli, BL; Sinclair, JB; Yu, GY; Eastburn, DM",Production of chitinolytic enzymes and endoglucanase in the soybean rhizosphere in the presence of Trichoderma harzianum and Rhizoctonia solani,BIOLOGICAL CONTROL,1998,12,2,10.1006/bcon.1998.0623,n,,,n,n,,,,,,,,,
145,"Deyett, E; Rolshausen, PE",Temporal Dynamics of the Sap Microbiome of Grapevine Under High Pierce's Disease Pressure,FRONTIERS IN PLANT SCIENCE,2019,10,,10.3389/fpls.2019.01246,y,shoot,mixed,y,n,,,,,,,,,
147,"du Toit, LJ; Pataky, JK",Effects of silk maturity and pollination on infection of maize ears by Ustilago maydis,PLANT DISEASE,1999,83,7,10.1094/PDIS.1999.83.7.621,y,reproductive,fungi,y,n,,,,,,,,,
148,"Yangilar, F","Effect of the Fish Oil Fortified Chitosan Edible Film on Microbiological, Chemical Composition and Sensory Properties of Gobek Kashar Cheese during Ripening Time",KOREAN JOURNAL FOR FOOD SCIENCE OF ANIMAL RESOURCES,2016,36,3,10.5851/kosfa.2016.36.3.377,n,,,n,n,,,,,,,,,
149,"Singh, H; Tripathi, M; Singh, P; Singh, RP",Biochemical and physiological studies on Rhizobium inoculated chickpea (Cicer arietinum L.) cultivar grown in eastern Uttar Pradesh,LEGUME RESEARCH,2018,41,2,10.18805/1r.v0iOF.9103,n,,,n,n,,,,,,,,,
150,"Cabrera-Huerta, E; Sandoval-Islas, JS; Villegas-Monter, A; Nava-Diaz, C; Mora-Aguilera, JA",Apical bud break and early vegetative shoot growth improving the mango malformation development: a new point of view,JOURNAL OF PLANT PATHOLOGY,2018,100,3,10.1007/s42161-018-0115-x,n,,,n,n,,,,,,,,,
151,"Stewart, CE; Roosendaal, D; Denef, K; Pruessner, E; Comas, LH; Sarath, G; Jin, VL; Schmer, MR; Soundararajan, M","Seasonal switchgrass ecotype contributions to soil organic carbon, deep soil microbial community composition and rhizodeposit uptake during an extreme drought",SOIL BIOLOGY & BIOCHEMISTRY,2017,112,,10.1016/j.soilbio.2017.04.021,n,,,n,n,,,,,,,,,
152,"Goncalves, SC; Martins-Loucao, MA; Freitas, H","Arbuscular mycorrhizas of Festuca brigantina, an endemic serpentinophyte from Portugal",SOUTH AFRICAN JOURNAL OF SCIENCE,2001,97,11-12,,y,root,MF,y,n,,,,,,,,,
153,"Yoshida, M; Nakajima, T; Tomimura, K; Suzuki, F; Arai, M; Miyasaka, A",Effect of the Timing of Fungicide Application on Fusarium Head Blight and Mycotoxin Contamination in Wheat,PLANT DISEASE,2012,96,6,10.1094/PDIS-10-11-0819,n,,,n,n,,,,,,,,,
154,"do Nascimento, CS; Lira, MA; Stamford, NP; Freire, MBGS; Sousa, CA",Nodulation and yield of cowpea (Vigna unguiculata L. Walp) under inoculation and cover crops,REVISTA BRASILEIRA DE CIENCIA DO SOLO,2008,32,2,10.1590/S0100-06832008000200013,n,,,n,n,,,,,,,,,
155,"CHERRY, AJ; SOTHERTON, NW; WRATTEN, SD","THE SUBLETHAL EFFECTS OF FOLIAR FUNGICIDES ON THE MUSTARD BEETLE, PHAEDON-COCHLEARIAE (F) (COL, CHRYSOMELIDAE)",JOURNAL OF APPLIED ENTOMOLOGY-ZEITSCHRIFT FUR ANGEWANDTE ENTOMOLOGIE,1992,114,5,10.1111/j.1439-0418.1992.tb01159.x,n,,,n,n,,,,,,,,,
156,"Picon, A; Garde, S; Avila, M; Nunez, M",Microbiota dynamics and lactic acid bacteria biodiversity in raw goat milk cheeses,INTERNATIONAL DAIRY JOURNAL,2016,58,,10.1016/j.idairyj.2015.09.010,n,,,n,n,,,,,,,,,
157,"Vieira, RF",Sewage sludge effects on soybean growth and nitrogen fixation,BIOLOGY AND FERTILITY OF SOILS,2001,34,3,,n,,,n,n,,,,,,,,,
158,"Gaube, P; Kaltenpoth, M; Florez, LV",Infection of Soybean Plants with the Insect Bacterial Symbiont Burkholderia gladioli and Evaluation of Plant Fitness,BIO-PROTOCOL,2017,7,24,10.21769/BioProtoc.2663,n,,,n,n,,,,,,,,,
159,"Santalla, M; Amurrio, JM; Rodino, AP; de Ron, AM",Variation in traits affecting nodulation of common bean under intercropping with maize and sole cropping,EUPHYTICA,2001,122,2,10.1023/A:1012964731165,n,,,n,n,,,,,,,,,
160,"SNIJDERS, CHA; KRECHTING, CF",INHIBITION OF DEOXYNIVALENOL TRANSLOCATION AND FUNGAL COLONIZATION IN FUSARIUM HEAD BLIGHT RESISTANT WHEAT,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,1992,70,8,10.1139/b92-198,n,,,n,n,,,,,,,,,
161,"MERRYWEATHER, J; FITTER, A",ARBUSCULAR MYCORRHIZA AND PHOSPHORUS AS CONTROLLING FACTORS IN THE LIFE-HISTORY OF HYACINTHOIDES NON-SCRIPTA (L) CHOUARD EX ROTHM,NEW PHYTOLOGIST,1995,129,4,10.1111/j.1469-8137.1995.tb03031.x,y,root,MF,y,n,,,,,,,,,
162,"Hernandez-Escareno, JJ; Morales, PG; Rodriguez, RF; Sanchez-Yanez, JM",Inoculation of Burkholderia cepacia and Gluconacetobacter diazotrophicus on phenotype and biomass of Triticum aestivum var. Nana-F2007 at 50% of nitrogen fertilizer,SCIENTIA AGROPECUARIA,2015,6,1,10.17268/sci.agropecu.2015.01.01,n,,,n,n,,,,,,,,,
163,"Turchi, B; Nuvoloni, R; Fratini, F; Pedonese, F; Ebani, VV; Cerri, D",Caciotta della Garfagnana cheese: selection and evaluation of autochthonous mesophilic lactic acid bacteria as starter cultures,ITALIAN JOURNAL OF ANIMAL SCIENCE,2011,10,2,10.4081/ijas.2011.e22,n,,,n,n,,,,,,,,,
164,"Oh, BJ; Kim, KD; Kim, YS",A microscopic characterization of the infection of green and red pepper fruits by an isolate of Colletotrichum gloeosporioides,JOURNAL OF PHYTOPATHOLOGY-PHYTOPATHOLOGISCHE ZEITSCHRIFT,1998,146,5-6,10.1111/j.1439-0434.1998.tb04695.x,n,,,n,n,,,,,,,,,
165,"Saikkonen, K; Mikola, J; Helander, M",Endophytic phyllosphere fungi and nutrient cycling in terrestrial ecosystems,CURRENT SCIENCE,2015,109,1,,n,,,n,n,,,,,,,,,
166,"Ware, IM; Van Nuland, ME; Schweitzer, JA; Yang, Z; Schadt, CW; Sidak-Loftis, LC; Stone, NE; Busch, JD; Wagner, DM; Bailey, JK",Climate-driven reduction of genetic variation in plant phenology alters soil communities and nutrient pools,GLOBAL CHANGE BIOLOGY,2019,25,4,10.1111/gcb.14553,y,root,bacteria; fungi,y,n,,,,,,,,,
167,"Joshi, J; Sharma, S; Guruprasad, KN","Foliar application of pyraclostrobin fungicide enhances the growth, rhizobial-nodule formation and nitrogenase activity in soybean (var. JS-335)",PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,2014,114,,10.1016/j.pestbp.2014.07.002,n,,,n,n,,,,,,,,,
168,"Lopes, MJS; Dias, MB; Castro, THR; Silva, GB",Light and plant growth-promoting rhizobacteria effects on Brachiaria brizantha growth and phenotypic plasticity to shade,GRASS AND FORAGE SCIENCE,2018,73,2,10.1111/gfs.12336,n,,,n,n,,,,,,,,,
169,"Ferreira, A; Quecine, MC; Lacava, PT; Oda, S; Azevedo, JL; Araujo, WL",Diversity of endophytic bacteria from Eucalyptus species seeds and colonization of seedlings by Pantoea agglomerans,FEMS MICROBIOLOGY LETTERS,2008,287,1,10.1111/j.1574-6968.2008.01258.x,n,,,n,n,,,,,,,,,
170,"DIFONZO, CD; RAGSDALE, DW; RADCLIFFE, EB; BANTTARI, EE","SUSCEPTIBILITY TO POTATO LEAFROLL VIRUS IN POTATO - EFFECTS OF CULTIVAR, PLANT-AGE AT INOCULATION, AND INOCULATION PRESSURE ON TUBER INFECTION",PLANT DISEASE,1994,78,12,10.1094/PD-78-1173,y,shoot,virus,y,n,,,,,,,,,
171,"Bleuze, L; Chabbert, B; Lashermes, G; Recous, S",Hemp harvest time impacts on the dynamics of microbial colonization and hemp stems degradation during dew retting,INDUSTRIAL CROPS AND PRODUCTS,2020,145,,10.1016/j.indcrop.2020.112122,n,,,n,n,,,,,,,,,
172,"Millar, JA; Ballhorn, DJ",Effect of mycorrhizal colonization and light limitation on growth and reproduction of lima bean (Phaseolus lunatus L.),JOURNAL OF APPLIED BOTANY AND FOOD QUALITY,2013,86,,10.5073/JABFQ.2013.086.023,n,,,n,n,,,,,,,,,
173,"Rodrigues, FA; Vale, FXR; Datnoff, LE; Prabhu, AS; Korndorfer, GH",Effect of rice growth stages and silicon on sheath blight development,PHYTOPATHOLOGY,2003,93,3,10.1094/PHYTO.2003.93.3.256,n,,,n,n,,,,,,,,,
174,"Leiser, WL; Olatoye, MO; Rattunde, HFW; Neumann, G; Weltzien, E; Haussmann, BIG",No need to breed for enhanced colonization by arbuscular mycorrhizal fungi to improve low-P adaptation of West African sorghums,PLANT AND SOIL,2016,401,1-2,10.1007/s11104-015-2437-1,y,root,MF,y,n,,,,,,,,,
175,"Bernardo, U; Nugnes, F; Gualtieri, L; Nicoletti, R; Varricchio, P; Sasso, R; Viggiani, G","A New Gall Midge Species of Asphondylia (Diptera: Cecidomyiidae) Inducing Flower Galls on Clinopodium nepeta (Lamiaceae) From Europe, Its Phenology, and Associated Fungi",ENVIRONMENTAL ENTOMOLOGY,2018,47,3,10.1093/ee/nvy028,n,,,n,n,,,,,,,,,
176,"Ramos, MLG; Gordon, AJ; Minchin, FR; Sprent, JI; Parsons, R",Effect of water stress on nodule physiology and biochemistry of a drought tolerant cultivar of common bean (Phaseolus vulgaris L.),ANNALS OF BOTANY,1999,83,1,10.1006/anbo.1998.0792,n,,,n,n,,,,,,,,,
177,"Workneh, F; Rush, CM",Weather factors associated with development of sorghum ergot in the Texas Panhandle,PLANT DISEASE,2006,90,6,10.1094/PD-90-0717,n,,,n,n,,,,,,,,,
178,"Santillan, E; Seshan, H; Constancias, F; Wuertz, S",Trait-based life-history strategies explain succession scenario for complex bacterial communities under varying disturbance,ENVIRONMENTAL MICROBIOLOGY,2019,21,10,10.1111/1462-2920.14725,n,,,n,n,,,,,,,,,
179,"Grady, KC; Kolb, TE; Ikeda, DH; Whitham, TG",A bridge too far: cold and pathogen constraints to assisted migration of riparian forests,RESTORATION ECOLOGY,2015,23,6,10.1111/rec.12245,n,,,n,n,,,,,,,,,
180,"Erturk, Y; Ercisli, S; Cakmakci, R",YIELD AND GROWTH RESPONSE OF STRAWBERRY TO PLANT GROWTH-PROMOTING RHIZOBACTERIA INOCULATION,JOURNAL OF PLANT NUTRITION,2012,35,6,10.1080/01904167.2012.663437,n,,,n,n,,,,,,,,,
181,"Fricke, EC; Tewksbury, JJ; Rogers, HS",Multiple natural enemies cause distance-dependent mortality at the seed-to-seedling transition,ECOLOGY LETTERS,2014,17,5,10.1111/ele.12261,n,,,n,n,,,,,,,,,
182,"SMART, MG; WICKLOW, DT; CALDWELL, RW",PATHOGENESIS IN ASPERGILLUS EAR ROT OF MAIZE - LIGHT-MICROSCOPY OF FUNGAL SPREAD FROM WOUNDS,PHYTOPATHOLOGY,1990,80,12,10.1094/Phyto-80-1287,n,,,n,n,,,,,,,,,
183,"Neto, MLD; Smiderle, OJ; da Silva, K; Fernandes, PI; Xavier, GR; Zilli, JE",Compatibility of the cowpea seed treatment with fungicides and inoculation with Bradyrhizobium strains,PESQUISA AGROPECUARIA BRASILEIRA,2013,48,1,10.1590/S0100-204X2013000100011,n,,,n,n,,,,,,,,,
184,"Ishimaru, T; Hirabayashi, H; Ida, M; Takai, T; San-Oh, YA; Yoshinaga, S; Ando, I; Ogawa, T; Kondo, M",A genetic resource for early-morning flowering trait of wild rice Oryza officinalis to mitigate high temperature-induced spikelet sterility at anthesis,ANNALS OF BOTANY,2010,106,3,10.1093/aob/mcq124,n,,,n,n,,,,,,,,,
185,"Emmett, BD; Buckely, DH; Drinkwater, LE",Plant growth rate and nitrogen uptake shape rhizosphere bacterial community composition and activity in an agricultural field,NEW PHYTOLOGIST,2020,225,2,10.1111/nph.16171,y,root,bacteria,y,n,,,,,,,,,
186,"Doi, T; Abe, J; Shiotsu, F; Morita, S",Study on rhizosphere bacterial community in lowland rice grown with organic fertilizers by using PCR-denaturing gradient gel electrophoresis,PLANT ROOT,2011,5,,10.3117/plantroot.5.5,n,,,n,n,,,,,,,,,
188,"Hempel, S; Gotzenberger, L; Kuhn, I; Michalski, SG; Rillig, MC; Zobel, M; Moora, M",Mycorrhizas in the Central European flora: relationships with plant life history traits and ecology,ECOLOGY,2013,94,6,10.1890/12-1700.1,n,,,n,n,,,,,,,,,
189,"Buntgen, U; Kauserud, H; Egli, S",Linking climate variability to mushroom productivity and phenology,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2012,10,1,10.1890/110064,n,,,n,n,,,,,,,,,
190,"Norden, B; Appelqvist, T",Conceptual problems of Ecological Continuity and its bioindicators,BIODIVERSITY AND CONSERVATION,2001,10,5,10.1023/A:1016675103935,n,,,n,n,,,,,,,,,
191,"Dudinszky, N; Cabello, MN; Grimoldi, AA; Schalamuk, S; Golluscio, RA",Role of Grazing Intensity on Shaping Arbuscular Mycorrhizal Fungi Communities in Patagonian Semiarid Steppes,RANGELAND ECOLOGY & MANAGEMENT,2019,72,4,10.1016/j.rama.2019.02.007,n,,,n,n,,,,,,,,,
192,"HARTMAN, JR; FLETCHER, JT",FUSARIUM CROWN AND ROOT-ROT OF TOMATOES IN THE UK,PLANT PATHOLOGY,1991,40,1,10.1111/j.1365-3059.1991.tb02296.x,n,,,n,n,,,,,,,,,
193,"Davis, TS; Wu, Y; Eigenbrode, SD","Chickpea variety and phenology affect acquisition of Pea enation mosaic virus, subsequent plant injury and aphid vector performance",ANNALS OF APPLIED BIOLOGY,2015,167,3,10.1111/aab.12239,n,,,n,n,,,,,,,,,
194,"Stamford, NP; Da Silva, RA","Effect of lime and inoculation of Mimosa caesalpiniaefolia in acid soil of the forest zone and semiarid region of Pernambuco, Brazil",PESQUISA AGROPECUARIA BRASILEIRA,2000,35,5,10.1590/S0100-204X2000000500023,n,,,n,n,,,,,,,,,
196,"Lax, P; Becerra, AG; Soteras, F; Cabello, M; Doucet, ME",Effect of the arbuscular mycorrhizal fungus Glomus intraradices on the false root-knot nematode Nacobbus aberrans in tomato plants,BIOLOGY AND FERTILITY OF SOILS,2011,47,5,10.1007/s00374-010-0514-4,n,,,n,n,,,,,,,,,
197,"White, JA; Ryley, MJ; George, DL; Kong, GA",Optimal environmental conditions for infection and development of Puccinia purpurea on sorghum,AUSTRALASIAN PLANT PATHOLOGY,2014,43,4,10.1007/s13313-014-0292-9,n,,,n,n,,,,,,,,,
198,"Scholles, D; Vargas, LK",Viability of soybean inoculation with Bradyrhizobium strains in flooded soil,REVISTA BRASILEIRA DE CIENCIA DO SOLO,2004,28,6,10.1590/S0100-06832004000600005,n,,,n,n,,,,,,,,,
200,"Kozub, L; Goldstein, K; Dembicz, I; Wilk, M; Wyszomirski, T; Kotowski, W",To mow or not to mow? Plant functional traits help to understand management impact on rich fen vegetation,APPLIED VEGETATION SCIENCE,2019,22,1,10.1111/avsc.12411,n,,,n,n,,,,,,,,,
201,"Guo, YS; Zhao, YH; Li, K; Liu, ZD; Lin, H; Guo, XW; Li, CX",Embryo rescue of crosses between diploid and tetraploid grape cultivars and production of triploid plants,AFRICAN JOURNAL OF BIOTECHNOLOGY,2011,10,82,10.5897/AJB11.977,n,,,n,n,,,,,,,,,
202,"Seres, A; Kiss, I; Nagy, P; Saly, P; Darvas, B; Bakonyi, G",Arbuscular mycorrhizal fungi colonisation of Cry3 toxin-producing Bt maize and near isogenic maize,PLANT SOIL AND ENVIRONMENT,2014,60,12,10.17221/674/2014-PSE,y,root,MF,y,n,,,,,,,,,
203,"Silva, FAC; dos Santos, RC; Neto, AD; Granja, MMC; de Souza, CCF; Melo, PA",Biochemical descriptors of cotton cultivars in response to Colletotrichum gossypii var. cephalosporioides,TROPICAL PLANT PATHOLOGY,2010,35,2,10.1590/S1982-56762010000200007,n,,,n,n,,,,,,,,,
204,"Mills, JG; Brookes, JD; Gellie, NJC; Liddicoat, C; Lowe, AJ; Sydnor, HR; Thomas, T; Weinstein, P; Weyrich, LS; Breed, MF",Relating Urban Biodiversity to Human Health With the 'Holobiont' Concept,FRONTIERS IN MICROBIOLOGY,2019,10,,10.3389/fmicb.2019.00550,n,,,n,n,,,,,,,,,
205,"Boddy, L; Buntgen, U; Egli, S; Gange, AC; Heegaard, E; Kirk, PM; Mohammad, A; Kauserud, H",Climate variation effects on fungal fruiting,FUNGAL ECOLOGY,2014,10,,10.1016/j.funeco.2013.10.006,y,root,fungi,y,n,,,,,,,,,
