WOS relevance rank	ScorerInits	Authors	Article Title	Source Title	Publication Date	Publication Year	Volume	Issue	DOI	Relevant? Y/N	relevantpt2	Second opinion needed?	second opinion note	Plant species	who will split out individual effects in study	lifeform	mating	MicrobeM-P-O	micr.loc.raw	Micrloc.1	Micrloc.2	micrtax.raw	micrtax.sim1	micrtax.sim2	phen infl micr	phenology of microbes	culture.vsother	culture.sim	strainvcomm.raw	Strainvcomm.1	phen.trait.raw	phen.trait.2	anyeffect	direction.effect.split	direction.grouped	state.relative.too	treatment	reason/s for multiple directions of effects	selection.measured	What fitness components?	raw data available?	Notes	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	delayed	various	without focal microbe	without AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	delayed	various	without focal microbe	without AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes robusta	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	none	various	without focal microbe	with AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	none	various	without focal microbe	with AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	none	various	without focal microbe	with AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes robusta	AO	perennial		nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	none	various	without focal microbe	pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	delayed	various	without focal microbe	pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	delayed	various	without focal microbe	pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes robusta	AO	perennial		nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	delayed	various	without focal microbe	non-pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	earlier	various	without focal microbe	non-pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	floral budset time	y	none	various	without focal microbe	non-pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted time to floral bud after planting or after shoot emergence from bulb (budburst) -- I took second option because seemed most relevant	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes robusta	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	earlier	various	without focal microbe	without AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	delayed	various	without focal microbe	without AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	delayed	various	without focal microbe	without AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes robusta	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	none	various	without focal microbe	with AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	none	various	without focal microbe	with AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	delayed	various	without focal microbe	with AMF	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes robusta	AO	perennial		nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	none	various	without focal microbe	pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	delayed	various	without focal microbe	pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	earlier	various	without focal microbe	pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes robusta	AO	perennial		nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	delayed	various	without focal microbe	non-pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	none	various	without focal microbe	non-pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	nutrients	root	root; soil	root	AMF; various	AMF	MF	n	n	culturing (commercial strain); direct	culture	strain; community	strain	shoot emergence; flowering bud; flowering time; flowering duration	flowering time	y	earlier	various	without focal microbe	non-pasturized soil	multiple plant species; mutliple traits; multiple microbes	n		n	counted ime to flowering after both shoot emergence from bulb (budburst) and after bud observance - here I took the former for consistency with flowering time measurements in most other studies	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes robusta	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral bud duration	y	narrowed	various	without focal microbe	without AMF	multiple plant species; mutliple traits; multiple microbes	n		n	here I now use the latter time to flowering as the window for bud duration	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral bud duration	y	none	various	without focal microbe	without AMF	multiple plant species; mutliple traits; multiple microbes	n		n	here I now use the latter time to flowering as the window for bud duration	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral bud duration	y	none	various	without focal microbe	without AMF	multiple plant species; mutliple traits; multiple microbes	n		n	here I now use the latter time to flowering as the window for bud duration	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes robusta	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral bud duration	y	none	various	without focal microbe	with AMF	multiple plant species; mutliple traits; multiple microbes	n		n	here I now use the latter time to flowering as the window for bud duration	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes sulphurea	AO	perennial		other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral bud duration	y	narrowed	various	without focal microbe	with AMF	multiple plant species; mutliple traits; multiple microbes	n		n	here I now use the latter time to flowering as the window for bud duration	
81	AO	Scagel, CF	Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	NOV	2003	78	6	10.1080/14620316.2003.11511702	y	y	n		Zephyranthes candida	AO	perennial	outcross	other	root	root; soil	root	AMF; various	mixed	mixed	n	n	culturing (commercial strain); direct	removed	strain; community	community	shoot emergence; flowering bud; flowering time; flowering duration	floral bud duration	y	none	various	without focal microbe	with AMF	multiple plant species; mutliple traits; multiple microbes	n		n	here I now use the latter time to flowering as the window for bud duration	
